date,obs-obs-1-1-rrday,obs-obs-1-1-tday,obs-obs-1-1-snow,obs-obs-1-1-tmin,obs-obs-1-1-tmax
2014-04-12T00:00:00Z,0.3,3.6,-1,2.4,6.2
2014-04-13T00:00:00Z,1.2,4.3,-1,3.5,5.1
2014-04-14T00:00:00Z,-1,5.1,-1,3.6,7.9
2014-04-15T00:00:00Z,0.3,5.3,-1,1.2,10.7
2014-04-16T00:00:00Z,-1,4.8,-1,-0.8,9.6
2014-04-17T00:00:00Z,-1,5.5,-1,2.6,9
2014-04-18T00:00:00Z,-1,8.5,-1,4.9,13
2014-04-19T00:00:00Z,-1,9.1,-1,3.5,13.8
2014-04-20T00:00:00Z,-1,9.7,-1,2.8,14.4
2014-04-21T00:00:00Z,-1,9.3,-1,4.2,13.1
2014-04-22T00:00:00Z,-1,13,-1,4.8,19.9
2014-04-23T00:00:00Z,-1,7.4,-1,3.3,14.8
2014-04-24T00:00:00Z,-1,6.4,-1,1,9.6
2014-04-25T00:00:00Z,-1,8.2,-1,1.5,12.4
2014-04-26T00:00:00Z,-1,9.3,-1,3.9,13.4
2014-04-27T00:00:00Z,-1,11.3,NaN,4.6,16.3
2014-04-28T00:00:00Z,-1,11.6,NaN,5.1,16.5
2014-04-29T00:00:00Z,-1,9.7,-1,7.2,15.7
2014-04-30T00:00:00Z,-1,7.3,-1,2.6,11.4
2014-05-01T00:00:00Z,1.2,4.6,-1,2.9,8.4
2014-05-02T00:00:00Z,4.7,3.4,-1,-0.1,8.6
2014-05-03T00:00:00Z,0.7,5,-1,0.4,8.5
2014-05-04T00:00:00Z,10,4.2,-1,1.6,7.8
2014-05-05T00:00:00Z,1.1,4,-1,1.2,7.9
2014-05-06T00:00:00Z,-1,4.8,-1,-1.2,9.8
2014-05-07T00:00:00Z,2,5.9,-1,-0.4,9.8
2014-05-08T00:00:00Z,8.3,5.5,-1,4.5,6.7
2014-05-09T00:00:00Z,12.4,7.8,-1,5.3,11.6
2014-05-10T00:00:00Z,3.6,8.3,-1,5.5,12.2
2014-05-11T00:00:00Z,2.7,9,-1,8,11.9
2014-05-12T00:00:00Z,0.1,9.2,-1,7.6,12.4
2014-05-13T00:00:00Z,4.7,9.8,-1,7.9,12.5
2014-05-14T00:00:00Z,-1,10.7,-1,7.9,14.7
2014-05-15T00:00:00Z,-1,8.6,-1,5.4,12.4
2014-05-16T00:00:00Z,-1,8.6,-1,5.2,11.7
2014-05-17T00:00:00Z,-1,11.1,-1,4.2,16.2
2014-05-18T00:00:00Z,-1,15.9,-1,6.7,22.1
2014-05-19T00:00:00Z,0.5,18.6,-1,13.5,23.9
2014-05-20T00:00:00Z,1,17.5,-1,11.8,23.6
2014-05-21T00:00:00Z,1.3,14.9,-1,12,18.2
2014-05-22T00:00:00Z,-1,16.6,-1,10.8,22.9
2014-05-23T00:00:00Z,-1,18.4,NaN,11,24.2
2014-05-24T00:00:00Z,-1,21.3,NaN,15.8,26.3
2014-05-25T00:00:00Z,-1,20.1,NaN,16.1,25.4
2014-05-26T00:00:00Z,0.1,17.5,NaN,13.2,23.4
2014-05-27T00:00:00Z,1.2,7.9,NaN,5.8,18.6
2014-05-28T00:00:00Z,7.9,7.1,NaN,5.2,8.8
2014-05-29T00:00:00Z,0.6,9.1,NaN,6.9,10.7
2014-05-30T00:00:00Z,-1,11.1,NaN,9.8,13.4
2014-05-31T00:00:00Z,0.1,11.1,NaN,9.7,15.1
2014-06-01T00:00:00Z,-1,13,NaN,9.2,16.6
2014-06-02T00:00:00Z,0.3,15,NaN,11.1,17.2
2014-06-03T00:00:00Z,2.8,14.6,NaN,14,16
2014-06-04T00:00:00Z,-1,18.5,NaN,13.4,22.5
2014-06-05T00:00:00Z,0.1,19.1,NaN,15.8,24.4
2014-06-06T00:00:00Z,1,17.5,NaN,14.5,23.3
2014-06-07T00:00:00Z,2.6,15,NaN,12.6,18.6
2014-06-08T00:00:00Z,0.1,14.6,NaN,11,18.6
2014-06-09T00:00:00Z,0.1,16.5,NaN,12,21.4
2014-06-10T00:00:00Z,1.3,16.3,NaN,14.3,20
2014-06-11T00:00:00Z,4.7,16.2,NaN,13,20.7
2014-06-12T00:00:00Z,15.7,13.1,NaN,11.9,16
2014-06-13T00:00:00Z,6.8,13.2,NaN,11.5,14.9
2014-06-14T00:00:00Z,-1,13.1,NaN,12.3,16.5
2014-06-15T00:00:00Z,-1,13.5,NaN,7,17.8
2014-06-16T00:00:00Z,5,11.7,NaN,8.7,17
2014-06-17T00:00:00Z,0.4,8.2,NaN,3.5,11.3
2014-06-18T00:00:00Z,0.5,11.9,NaN,5.6,17.3
2014-06-19T00:00:00Z,0.4,12.8,NaN,9.9,17.2
2014-06-20T00:00:00Z,5.8,11.6,NaN,8,16.7
2014-06-21T00:00:00Z,0.2,9.7,NaN,6.3,14.2
2014-06-22T00:00:00Z,8.5,9.4,NaN,7.2,12.9
2014-06-23T00:00:00Z,0.3,10,NaN,6.3,13.5
2014-06-24T00:00:00Z,1.3,11.9,NaN,8.6,15.3
2014-06-25T00:00:00Z,-1,12.5,NaN,9.5,16
2014-06-26T00:00:00Z,0.2,12.3,NaN,10.1,17.2
2014-06-27T00:00:00Z,-1,13,NaN,9,16.4
2014-06-28T00:00:00Z,0.5,14.9,NaN,10.9,18.2
2014-06-29T00:00:00Z,13.5,13,NaN,11.7,14.7
2014-06-30T00:00:00Z,0.1,13.6,NaN,11.8,16
2014-07-01T00:00:00Z,2.8,13,NaN,12,14.3
2014-07-02T00:00:00Z,0.5,14.7,NaN,11.3,17.8
2014-07-03T00:00:00Z,0.8,15,NaN,11.2,18.4
2014-07-04T00:00:00Z,-1,16.6,NaN,13.3,20
2014-07-05T00:00:00Z,-1,16.3,NaN,11.4,21.3
2014-07-06T00:00:00Z,-1,18.7,NaN,11.6,23.2
2014-07-07T00:00:00Z,-1,20.4,NaN,16.1,23.9
2014-07-08T00:00:00Z,-1,21,NaN,17.4,25.3
2014-07-09T00:00:00Z,6.5,22.9,NaN,15.9,28.1
2014-07-10T00:00:00Z,-1,16.9,NaN,15.1,24.4
2014-07-11T00:00:00Z,-1,16.5,NaN,11.1,20
2014-07-12T00:00:00Z,-1,17.9,NaN,12.9,20.9
2014-07-13T00:00:00Z,0.1,20.7,NaN,18.4,23.5
2014-07-14T00:00:00Z,0.1,18.7,NaN,17,22.5
2014-07-15T00:00:00Z,0.1,18.7,NaN,16,22.1
2014-07-16T00:00:00Z,0.1,17.6,NaN,15.6,21.8
2014-07-17T00:00:00Z,-1,18.5,NaN,14.7,22.5
2014-07-18T00:00:00Z,-1,19.5,NaN,16.4,24.3
2014-07-19T00:00:00Z,-1,20.7,NaN,16,24.4
2014-07-20T00:00:00Z,-1,21,NaN,15.3,25
2014-07-21T00:00:00Z,-1,20.8,NaN,16,25.2
2014-07-22T00:00:00Z,-1,22.6,NaN,16.1,26.5
2014-07-23T00:00:00Z,-1,24.5,NaN,18.7,29.6
2014-07-24T00:00:00Z,-1,23,NaN,18.6,28.4
2014-07-25T00:00:00Z,-1,23.6,NaN,17.9,27.9
2014-07-26T00:00:00Z,-1,24.7,NaN,19.2,28.7
2014-07-27T00:00:00Z,-1,24.4,NaN,18.5,29.6
2014-07-28T00:00:00Z,-1,25.1,NaN,20,29.6
2014-07-29T00:00:00Z,0.2,23.2,NaN,20.1,27.2
2014-07-30T00:00:00Z,0.2,23,NaN,18.5,27
2014-07-31T00:00:00Z,1.4,22.9,NaN,20.2,28.2
2014-08-01T00:00:00Z,-1,21.7,NaN,18.6,24.6
2014-08-02T00:00:00Z,-1,21.7,NaN,18.5,25.3
2014-08-03T00:00:00Z,-1,23.1,NaN,18.3,27.3
2014-08-04T00:00:00Z,-1,24.3,NaN,NaN,NaN
2014-08-05T00:00:00Z,-1,24.3,NaN,20.4,28.4
2014-08-06T00:00:00Z,-1,24.5,NaN,20.3,28
2014-08-07T00:00:00Z,2.7,23,NaN,20.1,28.4
2014-08-08T00:00:00Z,-1,21.3,NaN,16.9,24.8
2014-08-09T00:00:00Z,-1,20.7,NaN,16,24.5
2014-08-10T00:00:00Z,0.1,21.4,NaN,17,25.4
2014-08-11T00:00:00Z,8.6,22.5,NaN,20.2,25.2
2014-08-12T00:00:00Z,2,20.6,NaN,18.4,24.4
2014-08-13T00:00:00Z,6.9,17.9,NaN,14.3,21.1
2014-08-14T00:00:00Z,-1,17.6,NaN,13.1,21.1
2014-08-15T00:00:00Z,0.6,17.6,NaN,13.3,22.5
2014-08-16T00:00:00Z,0.5,18.1,NaN,14.9,20.9
2014-08-17T00:00:00Z,2.5,16.8,NaN,12.8,21.8
2014-08-18T00:00:00Z,4.1,16.5,NaN,14.5,20.1
2014-08-19T00:00:00Z,16,15.2,NaN,13,16.8
2014-08-20T00:00:00Z,26.6,13.9,NaN,11.5,17.5
2014-08-21T00:00:00Z,0.1,14.9,NaN,11.2,18
2014-08-22T00:00:00Z,0.1,14.6,NaN,12.6,17.2
2014-08-23T00:00:00Z,12.3,13.1,NaN,11.7,17.6
2014-08-24T00:00:00Z,0.4,14.5,NaN,11.3,18.1
2014-08-25T00:00:00Z,17.5,13.5,NaN,11.8,15.1
2014-08-26T00:00:00Z,3.2,14.5,NaN,12.7,18.6
2014-08-27T00:00:00Z,12.5,14.2,NaN,11.9,18.1
2014-08-28T00:00:00Z,1.4,14.4,NaN,12.9,18.8
2014-08-29T00:00:00Z,3,13.1,NaN,10.9,16.9
2014-08-30T00:00:00Z,-1,12.8,NaN,10.1,16.6
