"","day","rrday1","snow1","tday1","tmin1","tmax1","date","file","main.site","weekday","yday","count","name","rrday","snow","tday","tmax","tmin","year","holiday","earth.phase","dsnow","dtemp","july","near.july","main.site.named","predCount","residuals"
"8466",1869,1.2,2,3.3,1.8,4,2009-01-12,"data/2009_01_tammikuu/11700209.209","1170","Monday",12,290,"Helsinki Kaisaniemi",0.1,0,4.6,5.6,3.4,9,FALSE,-0.915864288267287,2,-1.3,FALSE,FALSE,"1170
Lauttasaaren silta",1764.1287215598,-4.94376743457294
"4576",1187,5.9,14,0.1,-1.7,1,2007-03-02,"data/2007_03_maaliskuu/11700909.207","1170","Friday",61,126,"Helsinki Kaisaniemi",4.6,18,0.8,1.7,0.4,7,FALSE,-0.309016994374947,-4,-0.7,FALSE,FALSE,"1170
Lauttasaaren silta",755.861518092835,-4.69707009778402
"10499",2182,7.3,0,6.7,5.9,7.7,2009-11-21,"data/2009_11_marraskuu/11704517.209","1170","Saturday",325,215,"Helsinki Kaisaniemi",1,0,7.2,9.4,6,9,FALSE,-0.886070621534138,0,-0.5,FALSE,FALSE,"1170
Lauttasaaren silta",1235.31337902277,-4.57405220321691
"3103",824,0.8,25,-10.3,-11.3,-7.2,2006-03-04,"data/2006_03_maaliskuu/11700912.206","1170","Saturday",63,40,"Helsinki Kaisaniemi",0.9,24,-8.5,-6.6,-11.9,6,FALSE,-0.276096973097469,1,-1.8,FALSE,FALSE,"1170
Lauttasaaren silta",258.47855323243,-4.55026166959944
"10629",2211,0,3,-5.5,-14.1,-4.3,2009-12-20,"data/2009_12_joulukuu/11704817.209","1170","Sunday",354,45,"Helsinki Kaisaniemi",5.5,5,-5.7,-3.3,-9.3,9,FALSE,-1,-2,0.2,FALSE,FALSE,"1170
Lauttasaaren silta",284.858764736809,-4.52468308484151
"8457",1866,5.7,0,-6.4,-12.9,-0.6,2009-01-09,"data/2009_01_tammikuu/11700209.209","1170","Friday",9,165,"Helsinki Kaisaniemi",0,7,0,3.1,-2.4,9,FALSE,-0.935367949313148,-7,-6.4,FALSE,FALSE,"1170
Lauttasaaren silta",946.932535058059,-4.51868695100897
"6281",1431,3.4,0,7.5,6.1,9.6,2007-11-01,"data/2007_11_marraskuu/11704419.207","1170","Thursday",305,503,"Helsinki Kaisaniemi",0.9,0,8.3,10.5,6.3,7,FALSE,-0.677614789046689,0,-0.800000000000001,FALSE,FALSE,"1170
Lauttasaaren silta",2788.81379490133,-4.47287343888882
"4581",1189,0.5,18,1.3,0.2,2,2007-03-04,"data/2007_03_maaliskuu/11700909.207","1170","Sunday",63,66,"Helsinki Kaisaniemi",0.6,17,0.9,2.5,0.1,7,FALSE,-0.276096973097469,1,0.4,FALSE,FALSE,"1170
Lauttasaaren silta",395.730436460625,-4.45568043557827
"4584",1190,0.6,17,0.9,0.1,2.5,2007-03-05,"data/2007_03_maaliskuu/11700909.207","1170","Monday",64,180,"Helsinki Kaisaniemi",0,15,0,4.1,-1.4,7,FALSE,-0.2595117970698,2,0.9,FALSE,FALSE,"1170
Lauttasaaren silta",1013.72248906358,-4.43428561437767
"10467",2176,0,0,-1.3,-6.5,2.5,2009-11-15,"data/2009_11_marraskuu/11704517.209","1170","Sunday",319,171,"Helsinki Kaisaniemi",0,0,4.5,5.6,2.5,9,FALSE,-0.83355577183857,0,-5.8,FALSE,FALSE,"1170
Lauttasaaren silta",958.982448263977,-4.4019987044864
"4186",1067,2.4,0,-0.7,-2.6,7.1,2006-11-02,"data/2006_11_marraskuu/11704439.206","1170","Thursday",306,168,"Helsinki Kaisaniemi",0,2,-3.4,-2.3,-4.3,6,FALSE,-0.690173388242972,-2,2.7,FALSE,FALSE,"1170
Lauttasaaren silta",908.257380006594,-4.20753166673252
"10374",2155,0.1,0,3.2,2.4,4.2,2009-10-25,"data/2009_10_lokakuu/11704017.209","1170","Sunday",298,201,"Helsinki Kaisaniemi",3.8,0,5.7,6.6,3,9,FALSE,-0.584298173628368,0,-2.5,FALSE,FALSE,"1170
Lauttasaaren silta",1074.90930421165,-4.18279034424044
"10532",2189,6.5,0,6.8,5.4,7.5,2009-11-28,"data/2009_12_joulukuu/11704817.209","1170","Saturday",332,184,"Helsinki Kaisaniemi",4.5,0,5.6,6.8,4.7,9,FALSE,-0.935367949313148,0,1.2,FALSE,FALSE,"1170
Lauttasaaren silta",984.57786434043,-4.17132272101864
"10111",2119,0,0,11.4,8.3,14.3,2009-09-19,"data/2009_09_syyskuu/11703609.209","1170","Saturday",262,617,"Helsinki Kaisaniemi",0,0,14.7,18.7,11.5,9,FALSE,-0.00430353829624388,0,-3.3,FALSE,FALSE,"1170
Lauttasaaren silta",3187.6623487076,-4.11363048064233
"4190",1068,0,2,-3.4,-4.3,-2.3,2006-11-03,"data/2006_11_marraskuu/11704439.206","1170","Friday",307,178,"Helsinki Kaisaniemi",0,2,-3.6,-1.3,-6.2,6,FALSE,-0.702527474169157,0,0.2,FALSE,FALSE,"1170
Lauttasaaren silta",932.530198667747,-4.05921273246828
"10557",2196,3.2,0,0.1,-2.8,1.4,2009-12-05,"data/2009_12_joulukuu/11704817.209","1170","Saturday",339,180,"Helsinki Kaisaniemi",0,0,3.5,3.9,1.4,9,FALSE,-0.97110005188295,0,-3.4,FALSE,FALSE,"1170
Lauttasaaren silta",930.323549598182,-3.99415530403845
"10590",2203,0,0,-0.2,-0.6,2,2009-12-12,"data/2009_12_joulukuu/11704817.209","1170","Saturday",346,149,"Helsinki Kaisaniemi",0,0,-2.2,-0.1,-3.6,9,FALSE,-0.99274872245774,0,2,FALSE,FALSE,"1170
Lauttasaaren silta",769.367387310955,-3.95550602185834
"8476",1871,0,0,4.2,3.9,5.3,2009-01-14,"data/2009_01_tammikuu/11700209.209","1170","Wednesday",14,381,"Helsinki Kaisaniemi",0,0,3.7,4.9,2.5,9,FALSE,-0.901501684131884,0,0.5,FALSE,FALSE,"1170
Lauttasaaren silta",1904.51520276806,-3.91817022412995
